boundary 0.0 50.0 50.0 00.0
start 3.08 18.23
end 48.24 27.14
obstacle1 7.90 9.96 5.00
obstacle2 7.43 39.91 5.00
obstacle3 16.81 21.32 5.00
obstacle4 12.00 30.70 3.75
obstacle5 16.34 10.54 3.75
obstacle6 4.88 23.69 1.50
obstacle7 8.51 20.45 1.50
obstacle8 3.64 31.17 1.50
obstacle9 21.55 41.19 3.75
obstacle10 29.71 18.54 1.50
obstacle11 32.33 18.65 1.50
obstacle12 35.90 18.71 1.50
obstacle13 38.25 18.71 1.50
obstacle14 40.06 18.77 1.50
obstacle15 41.81 18.77 1.50
obstacle16 43.09 18.77 1.50
obstacle17 34.08 18.65 1.50
obstacle18 43.46 21.90 1.50
obstacle19 43.52 20.45 1.50
obstacle20 43.62 25.02 1.50
obstacle21 43.56 23.40 1.50
obstacle22 43.72 27.34 1.50
obstacle23 43.69 30.01 1.50
obstacle24 43.69 32.56 1.50
obstacle25 43.62 35.28 1.50
obstacle26 41.04 35.40 1.50
obstacle27 38.21 35.51 1.50
obstacle28 35.16 35.57 1.50
obstacle29 32.27 35.45 1.50
obstacle30 29.17 35.34 1.50
obstacle31 30.69 35.51 1.50
obstacle32 36.67 35.69 1.50
obstacle33 35.02 9.67 3.75
obstacle34 36.90 43.91 3.75
obstacle35 47.72 3.18 3.75
obstacle36 43.46 11.35 1.50
obstacle37 46.55 44.49 1.50
obstacle38 32.64 27.52 1.50
